,Item_name,Item number 1,Item number 2,Item number 3
41,Freewheeler,Freewheeler max|уровень: 0.999721| id: 420,Lw travel sling|уровень: 0.999206| id: 392,Borderless shorts-7 in.|уровень: 0.998992| id: 15
42,Gi ii pants,Gi ii zip-off pants|уровень: 0.999297| id: 426,Runshade top|уровень: 0.999286| id: 116,Guidewater shorts|уровень: 0.999264| id: 51
43,Gi ii shorts,Gi ii zip-off pants|уровень: 0.999413| id: 426,S/s sol patrol shirt|уровень: 0.998981| id: 226,Rock guide pants|уровень: 0.998661| id: 212
44,Girl's boardie capris,Kamala dress|уровень: 0.999080| id: 312,Cap 1 graphic t-shirt|уровень: 0.999053| id: 19,Baggies shorts|уровень: 0.999016| id: 407
45,Girl's boardie shorts,Boardie shorts|уровень: 0.999701| id: 408,Microburst jkt|уровень: 0.999018| id: 414,R1 p/o|уровень: 0.998643| id: 263
46,Girl's cotton tank dress,Twenty-three's board shorts|уровень: 0.998952| id: 145,Cap 1 bottoms|уровень: 0.998931| id: 17,Vitaliti tank|уровень: 0.998926| id: 235
47,Going big in b.c. poster,Lead an examined life poster|уровень: 0.999619| id: 68,Symmetry w16 poster|уровень: 0.999424| id: 318,Wyoming climbing poster|уровень: 0.999406| id: 237
48,Great divider,Sub divider|уровень: 0.999831| id: 133,Guidewater duffle|уровень: 0.999125| id: 438,Hip pack|уровень: 0.999003| id: 402
49,Guidewater duffle,Guidewater duffle|уровень: 0.999723| id: 438,Great divider|уровень: 0.998935| id: 48,Sub divider|уровень: 0.998921| id: 133
50,Guidewater jkt,Traverse pants|уровень: 0.999509| id: 330,Deep wading jkt|уровень: 0.999372| id: 32,Bucket hat|уровень: 0.999325| id: 16
51,Guidewater shorts,Guidewater pants|уровень: 0.999712| id: 443,Ultra shorts|уровень: 0.999407| id: 146,Rock guide shorts|уровень: 0.999356| id: 114
52,Guidewater vest,Marlwalker|уровень: 0.999510| id: 397,Riverwalker vest|уровень: 0.999504| id: 341,Riverwalker|уровень: 0.999456| id: 419
53,Highwater pfd vest,Sol patrol shirt|уровень: 0.999022| id: 256,Ulw hiking crew socks|уровень: 0.998940| id: 147,Guidewater vest|уровень: 0.998935| id: 52
54,Hip chest pack,Crosstown|уровень: 0.999649| id: 30,Lw travel tote|уровень: 0.999450| id: 393,Lightwire|уровень: 0.999367| id: 435
55,Iceberg t-shirt,Rockpile t-shirt|уровень: 0.999169| id: 115,Dragoons t-shirt|уровень: 0.999130| id: 35,World according to bikers t-shir|уровень: 0.999099| id: 150
56,Insulator pants,Riverwalker vest|уровень: 0.999405| id: 341,Inter-continental capris|уровень: 0.999396| id: 186,R2 jkt|уровень: 0.999339| id: 380
57,'73 logo t-shirt,Flying fish t-shirt|уровень: 0.999829| id: 62,Gpiw classic t-shirt|уровень: 0.999781| id: 63,Live simply guitar t-shirt|уровень: 0.999725| id: 64
58,Borderless gi shorts,Cap 1 bottoms|уровень: 0.999360| id: 170,Surf sneaker|уровень: 0.999355| id: 135,Cap 1 crew|уровень: 0.999298| id: 486
59,Cap 1 graphic tee,Cap 1 t-shirt|уровень: 0.999235| id: 20,Cap 1 crew|уровень: 0.999002| id: 486,Merino 2 t-shirt|уровень: 0.998912| id: 268
60,Cap 3 bottoms,Cap 1 boxer briefs|уровень: 0.999264| id: 18,Cap 3 bottoms|уровень: 0.999008| id: 439,Cap 3 crew|уровень: 0.998953| id: 412
61,El cap jkt,El cap jkt|уровень: 0.999318| id: 179,Aravis jkt|уровень: 0.999255| id: 160,Live simply guitar t-shirt|уровень: 0.999146| id: 72
62,Flying fish t-shirt,'73 logo t-shirt|уровень: 0.999829| id: 57,Gpiw classic t-shirt|уровень: 0.999828| id: 63,Live simply guitar t-shirt|уровень: 0.999795| id: 64
63,Gpiw classic t-shirt,Flying fish t-shirt|уровень: 0.999828| id: 62,'73 logo t-shirt|уровень: 0.999781| id: 57,Live simply guitar t-shirt|уровень: 0.999778| id: 64
64,Live simply guitar t-shirt,Girl's live simply seal t-shirt|уровень: 0.999889| id: 432,Girl's live simply deer t-shirt|уровень: 0.999843| id: 431,Flying fish t-shirt|уровень: 0.999795| id: 62
65,Synch marsupial,Baby synch cardigan|уровень: 0.999217| id: 473,El cap jkt|уровень: 0.998958| id: 179,Baby micro d-luxe cardigan|уровень: 0.998842| id: 8
66,Torrentshell jkt,Watermaster waders|уровень: 0.999471| id: 152,Watermaster waders|уровень: 0.999464| id: 354,Watermaster waders|уровень: 0.999457| id: 153
67,La surfer maria t-shirt,Mountain island t-shirt|уровень: 0.999385| id: 94,Cerro torre one t-shirt|уровень: 0.999143| id: 447,Wind path t-shirt|уровень: 0.999109| id: 396
68,Lead an examined life poster,Going big in b.c. poster|уровень: 0.999619| id: 47,Traversing auguille d'entreves|уровень: 0.999459| id: 331,Symmetry w16 poster|уровень: 0.999419| id: 318
69,Light and variable surf trunks,Lw guide pants|уровень: 0.999089| id: 383,Rock guide pants|уровень: 0.999084| id: 212,Lw guide pants|уровень: 0.999057| id: 378
70,Live simply bug t-shirt,Live simply guitar t-shirt|уровень: 0.999574| id: 72,Planer t-shirt|уровень: 0.999236| id: 101,Fitz roy study t-shirt|уровень: 0.999221| id: 488
71,Live simply deer t-shirt,Live simply deer t-shirt|уровень: 0.999631| id: 333,Birdwalk t-shirt|уровень: 0.999432| id: 166,Hills t-shirt|уровень: 0.999392| id: 184
72,Live simply guitar t-shirt,Live simply guitar t-shirt|уровень: 0.999604| id: 334,Live simply bug t-shirt|уровень: 0.999574| id: 70,Baby live simply deer t-shirt|уровень: 0.999233| id: 469
73,Logo hat,Baby baggies shorts|уровень: 0.998334| id: 465,Live simply bug t-shirt|уровень: 0.998303| id: 70,Cotton board shorts|уровень: 0.998218| id: 29
74,L/s hooded rashguard,L/s rashguard|уровень: 0.999641| id: 76,S/s rashguard|уровень: 0.999591| id: 360,S/s rashguard|уровень: 0.998783| id: 225
75,L/s island hopper shirt,S/s island hopper shirt|уровень: 0.999695| id: 124,Cap 1 bottoms|уровень: 0.999402| id: 17,Double haul|уровень: 0.999400| id: 471
76,L/s rashguard,S/s rashguard|уровень: 0.999962| id: 360,L/s hooded rashguard|уровень: 0.999641| id: 74,S/s rashguard|уровень: 0.999174| id: 225
77,L/s steersman shirt,Pique vitaliti polo shirt|уровень: 0.999246| id: 374,Simply organic polo|уровень: 0.999227| id: 247,Shop pants|уровень: 0.999168| id: 118
78,Lw endurance ankle socks,Lw endurance quarter socks|уровень: 0.999649| id: 79,Lw hiking crew socks|уровень: 0.999538| id: 80,Ulw hiking crew socks|уровень: 0.999495| id: 147
79,Lw endurance quarter socks,Ulw hiking crew socks|уровень: 0.999806| id: 147,Lw endurance ankle socks|уровень: 0.999649| id: 78,Ultra lw endurance ped socks|уровень: 0.999440| id: 338
80,Lw hiking crew socks,Ulw hiking crew socks|уровень: 0.999617| id: 147,Lw endurance ankle socks|уровень: 0.999538| id: 78,Lw endurance quarter socks|уровень: 0.999380| id: 79
81,Lw r4 jkt,Lw r4 jkt|уровень: 0.999949| id: 379,Storm light jkt|уровень: 0.999574| id: 266,Storm light jkt|уровень: 0.999522| id: 385
82,Lw travel duffel,Borderless shorts-7 in.|уровень: 0.999392| id: 15,Crosstown|уровень: 0.999390| id: 30,Hip chest pack|уровень: 0.999351| id: 54
83,Lw travel pack,Lw travel tote|уровень: 0.999471| id: 393,Critical mass|уровень: 0.999339| id: 455,Lightwire|уровень: 0.999291| id: 435
84,M10 jkt,M10 jkt|уровень: 0.999988| id: 196,Down sweater|уровень: 0.999499| id: 178,Down sweater|уровень: 0.999496| id: 472
85,M10 pants,M10 jkt|уровень: 0.998991| id: 196,Minimass|уровень: 0.998989| id: 92,M10 jkt|уровень: 0.998968| id: 84
86,Merino 1 crew,Merino 2 crew|уровень: 0.999677| id: 201,Merino 2 t-shirt|уровень: 0.999609| id: 89,Merino 2 crew|уровень: 0.999573| id: 406
87,Merino 1 t-shirt,Merino 2 t-shirt|уровень: 0.999654| id: 89,Merino 2 bottoms|уровень: 0.999640| id: 265,Merino 2 bottoms|уровень: 0.999621| id: 405
88,Merino 2 polo,Merino 1 crew|уровень: 0.999420| id: 86,Merino 2 crew|уровень: 0.999395| id: 406,Merino 2 crew|уровень: 0.999390| id: 201
89,Merino 2 t-shirt,Merino 2 crew|уровень: 0.999699| id: 406,Merino 2 crew|уровень: 0.999668| id: 201,Merino 1 t-shirt|уровень: 0.999654| id: 87
90,Migration hemp shirt,Organic cotton under tee|уровень: 0.998588| id: 365,Text logo t-shirt|уровень: 0.998580| id: 137,Island hemp dress|уровень: 0.998280| id: 306
91,Minimalist board shorts-19 in.,Wavefarer board shorts-21 in.|уровень: 0.999141| id: 394,Twenty-three's board shorts|уровень: 0.998905| id: 145,River shorts|уровень: 0.998782| id: 401
92,Minimass,Hip pack|уровень: 0.999370| id: 402,Down sweater vest|уровень: 0.999107| id: 281,Active briefs|уровень: 0.999107| id: 299
93,Mlc wheelie,Lw travel tote|уровень: 0.999541| id: 393,Mlc|уровень: 0.999509| id: 429,Half mass|уровень: 0.999367| id: 485
94,Mountain island t-shirt,The more you know t-shirt|уровень: 0.999528| id: 138,Caribou north wind t-shirt|уровень: 0.999505| id: 446,Wind path t-shirt|уровень: 0.999423| id: 396
95,Nine trails jkt,Nine trails jkt|уровень: 0.999774| id: 280,Simple guide pants|уровень: 0.999300| id: 352,Nine trails vest|уровень: 0.999248| id: 209
96,Nine trails shorts,Nine trails shorts|уровень: 0.999877| id: 208,Traverse pants|уровень: 0.999568| id: 330,Alpine guide pants|уровень: 0.999366| id: 3
97,Organic logo t-shirt,'73 logo t-shirt|уровень: 0.999410| id: 492,City by the sea t-shirt|уровень: 0.999393| id: 25,Mountain island t-shirt|уровень: 0.999356| id: 94
98,O web belt,Lw guide pants|уровень: 0.998140| id: 383,Travel belt|уровень: 0.998097| id: 141,Lw guide pants|уровень: 0.997965| id: 378
99,Paddler board shorts,Baggies shorts|уровень: 0.999381| id: 311,Wavefarer board shorts|уровень: 0.999345| id: 324,River shorts|уровень: 0.999239| id: 401
100,Pataloha shirt,Versatili-tee|уровень: 0.998647| id: 295,Special edition pataloha shirt|уровень: 0.998416| id: 122,Custodian pants|уровень: 0.998399| id: 462
101,Planer t-shirt,Rockpile t-shirt|уровень: 0.999740| id: 115,Text logo t-shirt|уровень: 0.999594| id: 137,'73 logo t-shirt|уровень: 0.999574| id: 492
102,Platform t-shirt,Merino 1 graphic t-shirt|уровень: 0.999101| id: 199,Merino 1 tank|уровень: 0.999066| id: 200,Merino 1 t-shirt|уровень: 0.998945| id: 264
103,Pocket pack,Deep wading jkt|уровень: 0.999132| id: 32,Multi use shorts|уровень: 0.999086| id: 206,Torrentshell jkt|уровень: 0.999078| id: 66
104,R1 hoody,R2 jkt|уровень: 0.999697| id: 210,R2 jkt|уровень: 0.999613| id: 380,Cap 1 bottoms|уровень: 0.999502| id: 170
105,R1 p/o,R1 p/o|уровень: 0.999591| id: 263,R1 full-zip jkt|уровень: 0.999507| id: 377,R1 full-zip jkt|уровень: 0.999466| id: 262
106,Rain shadow pants,Rain shadow pants|уровень: 1.000000| id: 106,Rain shadow trench coat|уровень: 0.999101| id: 351,Rain shadow jkt|уровень: 0.998792| id: 211
107,Reg fit organic ctn jeans-long,Reg fit organic ctn jeans-reg|уровень: 0.999981| id: 108,Reg fit organic ctn jeans-short|уровень: 0.999981| id: 389,Relax fit organic ctn jeans-long|уровень: 0.999140| id: 390
108,Reg fit organic ctn jeans-reg,Reg fit organic ctn jeans-short|уровень: 0.999982| id: 389,Reg fit organic ctn jeans-long|уровень: 0.999981| id: 107,Shop pants|уровень: 0.999146| id: 349
109,Relax fit organic ctn jeans-shor,Relax fit organic ctn jeans-reg|уровень: 0.999982| id: 391,Relax fit organic ctn jeans-long|уровень: 0.999980| id: 390,Reg fit organic ctn jeans-reg|уровень: 0.999124| id: 108
110,Remat,Organic cotton under tee|уровень: 0.999097| id: 365,Cap 1 bottoms|уровень: 0.999078| id: 17,Trout silhouette t-shirt|уровень: 0.998856| id: 143
111,Retro grade pants,Retro grade shorts|уровень: 0.999369| id: 399,Gravitee tank|уровень: 0.999212| id: 182,Cap 2 bottoms|уровень: 0.999129| id: 495
112,Riverwalker,Riverwalker|уровень: 0.999890| id: 113,Riverwalker|уровень: 0.999879| id: 419,Marlwalker|уровень: 0.999745| id: 397
113,Riverwalker,Riverwalker|уровень: 0.999890| id: 112,Riverwalker|уровень: 0.999858| id: 419,Marlwalker|уровень: 0.999694| id: 397
114,Rock guide shorts,Rock guide pants|уровень: 0.999728| id: 342,Rock guide pants|уровень: 0.999651| id: 212,Rock guide shorts|уровень: 0.999375| id: 213
115,Rockpile t-shirt,Planer t-shirt|уровень: 0.999740| id: 101,Text logo t-shirt|уровень: 0.999551| id: 137,'73 logo t-shirt|уровень: 0.999382| id: 492
116,Runshade top,L/s runshade top|уровень: 0.999848| id: 476,L/s runshade top|уровень: 0.999640| id: 195,Mlc|уровень: 0.999301| id: 429
117,Shop pants,Shop pants|уровень: 0.999985| id: 118,Shop pants|уровень: 0.999985| id: 349,Custodian pants|уровень: 0.999356| id: 461
118,Shop pants,Shop pants|уровень: 0.999985| id: 117,Shop pants|уровень: 0.999984| id: 349,Custodian pants|уровень: 0.999360| id: 462
119,Simple guide jkt,Simple guide jkt|уровень: 0.999939| id: 215,Traverse pants|уровень: 0.999230| id: 330,Guidewater jkt|уровень: 0.999041| id: 50
120,Soaring jkt,Compound cargo shorts|уровень: 0.999322| id: 452,Compound cargo pants|уровень: 0.999049| id: 451,Compound cargo pants|уровень: 0.999026| id: 26
121,Sonar so no t-shirt,Mountain island t-shirt|уровень: 0.999112| id: 94,Caribou north wind t-shirt|уровень: 0.999096| id: 446,Tarpon t-shirt|уровень: 0.998995| id: 321
122,Special edition pataloha shirt,Trucker hat|уровень: 0.998829| id: 144,Cotton board shorts|уровень: 0.998582| id: 29,Pataloha shirt|уровень: 0.998416| id: 100
123,Squid t-shirt,Caribou north wind t-shirt|уровень: 0.999504| id: 446,Wind path t-shirt|уровень: 0.999452| id: 396,The more you know t-shirt|уровень: 0.999393| id: 138
124,S/s island hopper shirt,L/s island hopper shirt|уровень: 0.999695| id: 75,Sol patrol shirt|уровень: 0.999391| id: 256,Borderless shorts-7 in.|уровень: 0.999390| id: 15
125,S/s pragmatist shirt,All-out capris|уровень: 0.998807| id: 156,Solimar pants|уровень: 0.998766| id: 222,Live simply deer t-shirt|уровень: 0.998645| id: 333
126,S/s puckerware shirt,Multi use skirt|уровень: 0.999266| id: 207,Cap 1 bottoms|уровень: 0.999099| id: 170,Cap 1 t-shirt|уровень: 0.998992| id: 171
127,S/s stretch t,Stretch polo|уровень: 0.999285| id: 131,Hooded monk sweatshirt|уровень: 0.999095| id: 403,World according to bikers t-shir|уровень: 0.999021| id: 150
128,Sst jkt,Storm light jkt|уровень: 0.999445| id: 385,Traverse pants|уровень: 0.999386| id: 330,Deep wading jkt|уровень: 0.999365| id: 32
129,Stormfront duffel 100,Quiet please t-shirt|уровень: 0.999027| id: 376,Runshade t-shirt|уровень: 0.998901| id: 347,Multi use shorts|уровень: 0.998884| id: 206
130,Stormfront pack,Mlc|уровень: 0.999247| id: 429,Atom|уровень: 0.999021| id: 6,Girona board shorts|уровень: 0.998917| id: 286
131,Stretch polo,Cap 1 boxer briefs|уровень: 0.999406| id: 18,S/s stretch t|уровень: 0.999285| id: 127,Active briefs|уровень: 0.999196| id: 494
132,Stretch wading belt,Trucker hat|уровень: 0.997876| id: 425,Lightwire|уровень: 0.997768| id: 435,Velocity cap|уровень: 0.997376| id: 148
133,Sub divider,Great divider|уровень: 0.999831| id: 48,Guidewater duffle|уровень: 0.998998| id: 438,Guidewater duffle|уровень: 0.998921| id: 49
134,Surf brim,Beach bucket|уровень: 0.999260| id: 12,Bimini cap|уровень: 0.998826| id: 478,Baggies shorts|уровень: 0.998565| id: 311
135,Surf sneaker,Borderless gi shorts|уровень: 0.999355| id: 58,Rock guide pants|уровень: 0.999171| id: 212,Riverwalker|уровень: 0.999092| id: 113
136,Tech web belt,Friction belt|уровень: 0.997711| id: 421,Travel belt|уровень: 0.997667| id: 141,Gi ii shorts|уровень: 0.997639| id: 43
137,Text logo t-shirt,Planer t-shirt|уровень: 0.999594| id: 101,Rockpile t-shirt|уровень: 0.999551| id: 115,'73 logo t-shirt|уровень: 0.999488| id: 492
138,The more you know t-shirt,Mountain island t-shirt|уровень: 0.999528| id: 94,Caribou north wind t-shirt|уровень: 0.999458| id: 446,Squid t-shirt|уровень: 0.999393| id: 123
139,Three trees shirt,R2 jkt|уровень: 0.999108| id: 210,Cap 1 bottoms|уровень: 0.999022| id: 170,Multi use skirt|уровень: 0.999010| id: 207
140,Torrentshell pants,Torrentshell pants|уровень: 0.999993| id: 274,Rain shadow trench coat|уровень: 0.999194| id: 351,Sst jkt|уровень: 0.998812| id: 128
141,Travel belt,Bandha dress|уровень: 0.998484| id: 162,Guidewater jkt|уровень: 0.998438| id: 50,Friction belt|уровень: 0.998305| id: 421
142,Traverse jkt,Traverse jkt|уровень: 0.999833| id: 231,Traverse pants|уровень: 0.999103| id: 330,Guide jkt|уровень: 0.999096| id: 437
143,Trout silhouette t-shirt,Fitz roy study t-shirt|уровень: 0.999498| id: 488,Organic cotton under tee|уровень: 0.999486| id: 365,Yosemite essence t-shirt|уровень: 0.999453| id: 238
144,Trucker hat,Cotton board shorts|уровень: 0.998861| id: 29,Special edition pataloha shirt|уровень: 0.998829| id: 122,Shop pants|уровень: 0.998724| id: 118
145,Twenty-three's board shorts,Wavefarer board shorts-21 in.|уровень: 0.999466| id: 394,Cap 2 t-shirt|уровень: 0.999332| id: 359,Inter-continental capris|уровень: 0.999227| id: 186
146,Ultra shorts,Guidewater shorts|уровень: 0.999407| id: 51,Guidewater pants|уровень: 0.999203| id: 443,Nine trails shorts|уровень: 0.999201| id: 208
147,Ulw hiking crew socks,Lw endurance quarter socks|уровень: 0.999806| id: 79,Lw hiking crew socks|уровень: 0.999617| id: 80,Lw endurance ankle socks|уровень: 0.999495| id: 78
148,Velocity cap,Velocity visor|уровень: 0.999254| id: 343,El cap jkt|уровень: 0.998592| id: 179,Active classic boxers|уровень: 0.998434| id: 0
149,Watermaster hip highs,Watermaster waders|уровень: 0.999430| id: 366,Watermaster waders|уровень: 0.999416| id: 354,Watermaster waders|уровень: 0.999408| id: 152
150,World according to bikers t-shir,Gravitee tank|уровень: 0.999527| id: 182,Bouquet t-shirt|уровень: 0.999338| id: 168,Planer t-shirt|уровень: 0.999184| id: 101
151,World trout t-shirt,Owlin around t-shirt|уровень: 0.999361| id: 288,Birdwalk t-shirt|уровень: 0.999267| id: 166,Live simply deer t-shirt|уровень: 0.999248| id: 71
152,Watermaster waders,Watermaster waders|уровень: 0.999999| id: 354,Watermaster waders|уровень: 0.999998| id: 153,Watermaster waders|уровень: 0.999998| id: 366
153,Watermaster waders,Watermaster waders|уровень: 0.999998| id: 366,Watermaster waders|уровень: 0.999998| id: 152,Watermaster waders|уровень: 0.999998| id: 354
154,Active hipster,Active briefs|уровень: 0.999238| id: 299,Alpine guide pants|уровень: 0.999189| id: 3,Borderless trek pants|уровень: 0.999115| id: 483
155,Active mesh bra,Sun mask|уровень: 0.999146| id: 410,Active boxer briefs|уровень: 0.999024| id: 493,Hotline top|уровень: 0.998894| id: 291
156,All-out capris,All weather capris|уровень: 0.998998| id: 303,Live simply deer t-shirt|уровень: 0.998913| id: 333,S/s pragmatist shirt|уровень: 0.998807| id: 125
157,All weather training top,Lw travel tote|уровень: 0.998928| id: 393,Aravis 1/4 zip|уровень: 0.998875| id: 308,Ascensionist jkt|уровень: 0.998861| id: 5
158,Alpine guide pants,Alpine guide pants|уровень: 0.999928| id: 3,Rock guide pants|уровень: 0.999486| id: 342,Borderless shorts-7 in.|уровень: 0.999416| id: 15
159,Aravis hoody,Girona board shorts|уровень: 0.999113| id: 286,Araveto hooded jkt|уровень: 0.998974| id: 459,Araveto jkt|уровень: 0.998846| id: 460
160,Aravis jkt,Aravis 1/4 zip|уровень: 0.999322| id: 308,Borderless capris|уровень: 0.999305| id: 167,El cap jkt|уровень: 0.999255| id: 61
161,Astrid tank,Astrid top|уровень: 0.999011| id: 309,Gravitee tank|уровень: 0.998997| id: 182,Versatiliti tank|уровень: 0.998717| id: 297
162,Bandha dress,Araveto jkt|уровень: 0.999073| id: 460,Long haul runners|уровень: 0.998909| id: 449,Twenty-three's board shorts|уровень: 0.998856| id: 145
163,Bandha top,Active boxer briefs|уровень: 0.999194| id: 493,Active sport boxer briefs|уровень: 0.999139| id: 1,Guidewater shorts|уровень: 0.999136| id: 51
164,Barely bikini,Barely hipster|уровень: 0.999351| id: 317,Cap 3 crew|уровень: 0.999070| id: 440,Cap 2 t-shirt|уровень: 0.999025| id: 359
